# ev x0 y0 z0 xf yf zf 
338 -0.150972 0.242159 -0.25 -0.162766 0.253904 -0.149981
339 -0.147088 -0.178224 -0.25 -0.142882 -0.170135 -0.149985
340 -0.182829 -0.0953187 -0.25 -0.165461 -0.102988 -0.149985
341 0.0372299 -0.196135 -0.25 0.059261 -0.195786 -0.15
342 -0.0437506 -0.028175 -0.25 -0.185145 -0.0507927 0.374788
343 0.176946 -0.0455777 -0.25 0.126266 -0.0309735 0.358754
344 -0.0624696 0.190231 -0.25 -0.0247266 0.213643 -0.149999
345 0.0524815 0.00817229 -0.25 0.00247833 -0.0216794 0.5
346 0.168831 0.0385279 -0.25 0.0948348 0.0350184 0.5
347 -0.0453326 -0.222404 -0.25 -0.0179268 -0.224747 -0.149987
348 -0.157363 0.0289403 -0.25 -0.120902 0.0550146 0.359995
349 0.212578 -0.164033 -0.25 0.239579 -0.148468 -0.14999
350 -0.213459 0.0610819 -0.25 -0.218365 0.0759581 -0.149988
351 0.210869 0.134246 -0.25 0.244175 0.155755 -0.149999
352 0.0248494 -0.248948 -0.25 -0.0180719 -0.252426 -0.149999
353 0.0271201 0.123878 -0.25 0.0878718 0.0931365 0.5
354 0.24321 0.130032 -0.25 0.274677 0.154781 -0.149997
355 0.195654 -0.189618 -0.25 0.229437 -0.172613 -0.149984
356 -0.215286 -0.017116 -0.25 -0.226104 -0.017395 -0.149995
357 -0.135754 -0.00903688 -0.25 -0.129849 -0.00628283 0.358125
358 0.204709 -0.208807 -0.25 0.265433 -0.209208 -0.149987
359 0.195385 -0.107761 -0.25 0.225715 -0.0640229 -0.15
360 0.231424 -0.00213315 -0.25 0.269825 0.0271596 -0.149996
361 0.150412 0.150255 -0.25 0.175575 0.161282 -0.149998
362 -0.213605 -0.144921 -0.25 -0.21865 -0.133465 -0.149979
363 0.177851 -0.120969 -0.25 0.251309 -0.199068 -0.149992
364 0.134019 0.14043 -0.25 0.125962 0.203621 -0.15
365 -0.0350014 0.17056 -0.25 -0.0501219 0.179374 -0.149993
366 -0.0484885 -0.074132 -0.25 -0.0580829 -0.119468 0.359997
367 0.0548065 0.226361 -0.25 0.0945062 0.268266 -0.149997
368 -0.0730804 -0.168073 -0.25 -0.0539472 -0.164981 -0.149991
369 0.100239 -0.07987 -0.25 0.122267 -0.0441721 0.359964
370 0.211959 0.0458928 -0.25 0.217422 0.015977 -0.149991
371 -0.0194884 0.246673 -0.25 0.00682924 0.267432 -0.149996
372 -0.221223 0.094758 -0.25 -0.229618 0.104105 -0.149966
373 -0.0123642 0.233486 -0.25 0.026324 0.221441 -0.149997
374 0.135951 -0.0669788 -0.25 0.158711 -0.0794121 -0.149994
375 -0.124275 0.117375 -0.25 -0.149409 0.101247 -0.149996
376 0.180888 -0.223863 -0.25 0.177985 -0.178265 -0.149996
377 0.0176302 0.217283 -0.25 -0.0176765 0.220566 -0.149983
378 -0.118784 -0.0545185 -0.25 -0.170568 -0.0544636 0.359999
379 -0.153686 -0.234765 -0.25 -0.140142 -0.309655 -0.149994
380 -0.164089 0.0613128 -0.25 -0.203497 -0.0250202 0.359985
381 0.185795 0.0374226 -0.25 0.175978 0.0419508 -0.149993
382 0.237181 -0.00939818 -0.25 0.319916 -0.0767283 -0.149998
383 0.0137835 -0.0858996 -0.25 0.0577356 -0.124342 0.359998
384 0.0725284 -0.135978 -0.25 -0.0272577 -0.127114 0.358458
385 0.0842304 0.0344874 -0.25 0.130744 0.0564415 0.359999
386 0.159915 -0.185258 -0.25 0.169826 -0.178555 -0.149994
387 0.0311601 0.188692 -0.25 0.0432083 0.12265 0.316882
